Country (Name),ASFIS species (Name),FAO division (Name),Unit (Name),Unit,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S
Liberia,Bull shark,Sherbro,Tonnes - live weight,TLW,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,355,,0,M,0,M
Liberia,Bullet tuna,Tunas (CECAF area),Tonnes - live weight,TLW,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,111,,16,
Liberia,Canary drum(=Baardman),Sherbro,Tonnes - live weight,TLW,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0.68,,0,M,0,M
Liberia,Carangids nei,Sherbro,Tonnes - live weight,TLW,100,,100,,100,,100,,100,,100,,100,,100,,108,,387,,167,,523,,472,,175,,492,,430,,818,,845,,580,,516,,13,,256,,170,,97,,96,,76,,62,,30,,178,,394,,235,,271,,280,,280,,394,,317,,284,,289,,67,,75,E,83,E,91,E,100,E,108,E,116,E,125,E,125,E,152,,133,,0,,0,M,0,M
Liberia,Cassava croaker,Sherbro,Tonnes - live weight,TLW,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,79,,40,,20,,0,M,266,,200,,490,,200,,100,,150,,90,,490,,95,,369,,381,,229,,230,E,233,E,236,E,236,E,239,E,243,E,165,E,165,E,300,,204,,249.52,,1010,,280,
Liberia,Clupeoids nei,Sherbro,Tonnes - live weight,TLW,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,191,,488,,441,,227,,345,,583,,506,,719,,764,,607,,155,,110,,229,,121,,115,,75,,189,,147,,383,,386,,318,,208,,210,,210,,386,,216,,364,,0,M,1,,100,E,100,E,100,E,100,E,100,E,100,E,100,E,100,E,106,,0,,0,,0,M,0,M
Liberia,Cobia,Sherbro,Tonnes - live weight,TLW,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,62,,33,,10,
Liberia,Common cuttlefish,Sherbro,Tonnes - live weight,TLW,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,87,,0,
Liberia,Common dolphinfish,Sherbro,Tonnes - live weight,TLW,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,31,,20,,48,,45,,22,,25,,25,,48,,2,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0,,0,M,0,M
Liberia,Common octopus,Sherbro,Tonnes - live weight,TLW,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,47,,68.72,
Liberia,"Conger eels, etc. nei",Sherbro,Tonnes - live weight,TLW,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,119,,99,,52,,72,,87,,42,,81,,70,,41,,117,,85,,128,,49,,76,,80,,80,,128,,92,,33,,194,,45,,50,E,50,E,50,E,50,E,50,E,50,E,90,E,90,E,40,,0,,0,,0,M,0,M
